Format Version,1.24,Take Name,Take 2025-02-16 04.33.44 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-16 04.33.44.861 PM,Capture Start Frame,240899,Total Frames in Take,3062,Total Exported Frames,3062,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Front,Front,Front,Front,Front,Front,Front,Front:Marker 001,Front:Marker 001,Front:Marker 001,Front:Marker 002,Front:Marker 002,Front:Marker 002,Front:Marker 003,Front:Marker 003,Front:Marker 003,Front:Marker 004,Front:Marker 004,Front:Marker 004,Front:Marker 005,Front:Marker 005,Front:Marker 005,Back,Back,Back,Back,Back,Back,Back,Back:Marker 001,Back:Marker 001,Back:Marker 001,Back:Marker 002,Back:Marker 002,Back:Marker 002,Back:Marker 003,Back:Marker 003,Back:Marker 003,Back:Marker 004,Back:Marker 004,Back:Marker 004,Back:Marker 005,Back:Marker 005,Back:Marker 005,Back:Marker 001,Back:Marker 001,Back:Marker 001,Back:Marker 002,Back:Marker 002,Back:Marker 002,Back:Marker 003,Back:Marker 003,Back:Marker 003,Back:Marker 004,Back:Marker 004,Back:Marker 004,Back:Marker 005,Back:Marker 005,Back:Marker 005,Front:Marker 001,Front:Marker 001,Front:Marker 001,Front:Marker 002,Front:Marker 002,Front:Marker 002,Front:Marker 003,Front:Marker 003,Front:Marker 003,Front:Marker 004,Front:Marker 004,Front:Marker 004,Front:Marker 005,Front:Marker 005,Front:Marker 005,Unlabeled 1422,Unlabeled 1422,Unlabeled 1422,Unlabeled 1423,Unlabeled 1423,Unlabeled 1423,Unlabeled 1424,Unlabeled 1424,Unlabeled 1424,Unlabeled 1427,Unlabeled 1427,Unlabeled 1427,Unlabeled 1428,Unlabeled 1428,Unlabeled 1428,Unlabeled 1429,Unlabeled 1429,Unlabeled 1429,Unlabeled 1430,Unlabeled 1430,Unlabeled 1430,Unlabeled 1433,Unlabeled 1433,Unlabeled 1433,Unlabeled 1434,Unlabeled 1434,Unlabeled 1434,Unlabeled 1435,Unlabeled 1435,Unlabeled 1435,Unlabeled 1436,Unlabeled 1436,Unlabeled 1436,Unlabeled 1437,Unlabeled 1437,Unlabeled 1437,Unlabeled 1438,Unlabeled 1438,Unlabeled 1438,Unlabeled 1439,Unlabeled 1439,Unlabeled 1439,Unlabeled 1440,Unlabeled 1440,Unlabeled 1440,Unlabeled 1453,Unlabeled 1453,Unlabeled 1453,Unlabeled 1455,Unlabeled 1455,Unlabeled 1455,Unlabeled 1456,Unlabeled 1456,Unlabeled 1456,Unlabeled 1458,Unlabeled 1458,Unlabeled 1458,Unlabeled 1459,Unlabeled 1459,Unlabeled 1459,Unlabeled 1461,Unlabeled 1461,Unlabeled 1461,Unlabeled 1462,Unlabeled 1462,Unlabeled 1462,Unlabeled 1463,Unlabeled 1463,Unlabeled 1463,Unlabeled 1464,Unlabeled 1464,Unlabeled 1464,Unlabeled 1465,Unlabeled 1465,Unlabeled 1465,Unlabeled 1466,Unlabeled 1466,Unlabeled 1466,Unlabeled 1468,Unlabeled 1468,Unlabeled 1468,Unlabeled 1469,Unlabeled 1469,Unlabeled 1469,Unlabeled 1470,Unlabeled 1470,Unlabeled 1470,Unlabeled 1473,Unlabeled 1473,Unlabeled 1473,Unlabeled 1474,Unlabeled 1474,Unlabeled 1474
,ID,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F0DECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,32AA4F4FECB211EF496AC1C60E0092AF,"142D055BECB611EF496AC1C60E0092AF","142D055BECB611EF496AC1C60E0092AF","142D055BECB611EF496AC1C60E0092AF","142D055CECB611EF496AC1C60E0092AF","142D055CECB611EF496AC1C60E0092AF","142D055CECB611EF496AC1C60E0092AF","142D055FECB611EF496AC1C60E0092AF","142D055FECB611EF496AC1C60E0092AF","142D055FECB611EF496AC1C60E0092AF","142D055AECB611EF496AC1C60E0092AF","142D055AECB611EF496AC1C60E0092AF","142D055AECB611EF496AC1C60E0092AF","142D0560ECB611EF496AC1C60E0092AF","142D0560ECB611EF496AC1C60E0092AF","142D0560ECB611EF496AC1C60E0092AF","142D0558ECB611EF496AC1C60E0092AF","142D0558ECB611EF496AC1C60E0092AF","142D0558ECB611EF496AC1C60E0092AF","142D0561ECB611EF496AC1C60E0092AF","142D0561ECB611EF496AC1C60E0092AF","142D0561ECB611EF496AC1C60E0092AF","142D0559ECB611EF496AC1C60E0092AF","142D0559ECB611EF496AC1C60E0092AF","142D0559ECB611EF496AC1C60E0092AF","142D055DECB611EF496AC1C60E0092AF","142D055DECB611EF496AC1C60E0092AF","142D055DECB611EF496AC1C60E0092AF","142D055EECB611EF496AC1C60E0092AF","142D055EECB611EF496AC1C60E0092AF","142D055EECB611EF496AC1C60E0092AF","64166C92946ECB111EF","64166C92946ECB111EF","64166C92946ECB111EF","6EA66C92946ECB111EF","6EA66C92946ECB111EF","6EA66C92946ECB111EF","80866C92946ECB111EF","80866C92946ECB111EF","80866C92946ECB111EF","81266C92946ECB111EF","81266C92946ECB111EF","81266C92946ECB111EF","81366C92946ECB111EF","81366C92946ECB111EF","81366C92946ECB111EF","81466C92946ECB111EF","81466C92946ECB111EF","81466C92946ECB111EF","58366C92946ECB111EF","58366C92946ECB111EF","58366C92946ECB111EF","81566C92946ECB111EF","81566C92946ECB111EF","81566C92946ECB111EF","81666C92946ECB111EF","81666C92946ECB111EF","81666C92946ECB111EF","81A66C92946ECB111EF","81A66C92946ECB111EF","81A66C92946ECB111EF","65166C92946ECB111EF","65166C92946ECB111EF","65166C92946ECB111EF","81C66C92946ECB111EF","81C66C92946ECB111EF","81C66C92946ECB111EF","6CB66C92946ECB111EF","6CB66C92946ECB111EF","6CB66C92946ECB111EF","6CE66C92946ECB111EF","6CE66C92946ECB111EF","6CE66C92946ECB111EF","6FD66C92946ECB111EF","6FD66C92946ECB111EF","6FD66C92946ECB111EF","87C66C92946ECB111EF","87C66C92946ECB111EF","87C66C92946ECB111EF","88666C92946ECB111EF","88666C92946ECB111EF","88666C92946ECB111EF","88966C92946ECB111EF","88966C92946ECB111EF","88966C92946ECB111EF","88C66C92946ECB111EF","88C66C92946ECB111EF","88C66C92946ECB111EF","88D66C92946ECB111EF","88D66C92946ECB111EF","88D66C92946ECB111EF","88F66C92946ECB111EF","88F66C92946ECB111EF","88F66C92946ECB111EF","89066C92946ECB111EF","89066C92946ECB111EF","89066C92946ECB111EF","89166C92946ECB111EF","89166C92946ECB111EF","89166C92946ECB111EF","89266C92946ECB111EF","89266C92946ECB111EF","89266C92946ECB111EF","89466C92946ECB111EF","89466C92946ECB111EF","89466C92946ECB111EF","89566C92946ECB111EF","89566C92946ECB111EF","89566C92946ECB111EF","8A166C92946ECB111EF","8A166C92946ECB111EF","8A166C92946ECB111EF","8A366C92946ECB111EF","8A366C92946ECB111EF","8A366C92946ECB111EF","8A466C92946ECB111EF","8A466C92946ECB111EF","8A466C92946ECB111EF","8A766C92946ECB111EF","8A766C92946ECB111EF","8A766C92946ECB111EF","8A866C92946ECB111EF","8A866C92946ECB111EF","8A866C92946ECB111EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.018297,-0.818629,0.023040,-0.573569,1686.737183,818.521606,1460.147461,1691.441406,991.633545,1651.414673,1634.028564,969.117126,1298.777100,1700.292480,788.439453,1531.282104,1680.875977,785.779480,1360.329224,1727.046875,557.638855,1458.934082,-0.005035,-0.819468,0.008866,-0.573034,1605.555786,704.320007,1456.579346,1591.410645,934.764404,1338.433472,1629.426636,915.601624,1595.637207,1594.918213,679.317505,1445.655640,1605.401367,490.913208,1558.371094,1606.621826,501.002899,1344.799683,1591.075562,935.031372,1338.730347,1629.011108,917.129517,1595.932495,1604.398315,677.785278,1445.804321,1604.332031,490.911621,1557.945190,1603.529297,494.955902,1342.698608,1690.346069,991.666138,1649.735474,,,,1705.087646,787.248962,1535.547363,1679.378296,791.334351,1361.123169,1726.449341,556.459961,1458.415527,1633.475708,986.033875,1296.397095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.003486,-0.789516,0.034648,-0.612741,1699.054199,819.117126,1459.640259,1692.722534,991.099792,1651.876709,1669.515991,972.603210,1295.119385,1704.114014,788.170105,1531.511719,1701.607544,787.059814,1359.460938,1727.310669,556.653137,1460.232422,-0.003580,-0.821188,0.008499,-0.570584,1606.678589,704.282471,1458.164062,1591.183228,934.566223,1339.874512,1630.796631,915.771057,1596.864136,1596.045288,679.239380,1447.329590,1607.729248,490.979889,1560.168701,1607.638550,500.855316,1346.583862,1590.847412,934.914856,1340.287598,1630.226074,917.071960,1596.979004,1605.230957,677.818604,1447.177612,1606.703003,490.784851,1559.873291,1603.020142,494.806000,1344.494751,1692.463501,991.402893,1650.964844,,,,1705.945923,787.558105,1536.305542,,,,1727.082520,556.483643,1459.293945,1632.644897,986.029541,1297.611938,1678.897461,791.341125,1362.709717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.009046,-0.783495,0.038154,-0.620160,1702.837036,819.196533,1460.061523,1694.932495,991.113464,1652.298462,1678.441162,973.155701,1295.140259,1706.107056,788.138855,1531.988892,1706.935181,787.178284,1359.921021,1727.768555,556.396729,1460.958740,-0.002583,-0.824105,0.007664,-0.566379,1607.244385,704.252014,1459.751099,1589.953247,934.531189,1341.701782,1632.245483,915.759460,1598.265869,1596.564209,679.185242,1449.017944,1609.881470,490.922089,1561.669800,1607.577148,500.861511,1348.100464,1589.718384,935.026672,1342.117676,1631.495117,917.234314,1598.336426,1605.983154,677.701050,1448.715698,1609.330200,490.534821,1561.449463,1602.692505,494.914276,1346.522461,1694.821655,991.356201,1651.579712,,,,1706.788818,787.525085,1537.430298,,,,1727.691040,556.321899,1460.173584,1631.961304,986.074036,1298.737915,1678.786255,791.466919,1363.835571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.004143,-0.792462,0.036776,-0.608798,1701.174194,818.830444,1460.711304,1697.396973,991.279175,1652.597046,1670.619995,972.051147,1296.128662,1706.818359,788.029602,1532.602051,1702.619995,786.532593,1360.587280,1728.415039,556.260132,1461.641602,-0.002030,-0.826322,0.007043,-0.563151,1607.534424,704.083496,1461.318726,1588.956055,934.387085,1343.512939,1633.287354,915.569092,1599.729126,1596.809814,679.004639,1450.658203,1611.306152,490.713135,1563.117065,1607.312500,500.743042,1349.576660,1588.760376,935.094177,1343.798218,1632.310791,917.652527,1600.104858,1606.343628,677.536987,1450.058594,1611.066162,490.288666,1563.041992,1602.732666,494.657837,1348.050903,1697.345703,991.544678,1651.864136,,,,1707.639038,787.336182,1538.728882,,,,1728.350952,556.179443,1460.854858,1631.612915,986.180298,1299.719604,1678.666992,791.558411,1365.197754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.004955,-0.806757,0.033282,-0.589925,1697.508179,818.021179,1462.147339,1699.909790,991.287964,1653.317017,1656.428101,969.907471,1298.621948,1707.127930,787.664246,1533.804443,1694.721069,785.278137,1362.196289,1729.353516,555.968506,1462.796875,-0.001215,-0.828265,0.006229,-0.560301,1608.000488,704.147827,1463.024170,1588.095459,934.463257,1345.458374,1634.236938,915.627014,1601.353516,1597.258545,679.049988,1452.426025,1612.951050,490.739807,1564.692993,1607.460449,500.858551,1351.190063,1587.828003,935.372864,1345.810913,1633.226807,918.095459,1601.732422,1606.733643,677.468689,1451.652710,1612.654663,490.288269,1564.658569,1603.484497,494.565155,1349.671631,1699.733643,991.612244,1652.609253,,,,1708.480713,786.946716,1540.720093,,,,1729.222290,555.798096,1461.925781,1632.062256,986.539673,1300.362427,1678.705200,792.163208,1366.166504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.010516,-0.818073,0.027583,-0.574356,1694.979736,818.285828,1463.379639,1702.309326,991.004578,1654.919434,1645.372070,970.037415,1302.109253,1707.819336,787.861389,1534.501465,1688.779785,785.800537,1363.497925,1730.617920,556.725586,1461.869873,-0.000704,-0.830332,0.005872,-0.557239,1608.615601,704.254639,1464.738770,1587.562134,934.551270,1347.336304,1635.617676,915.758972,1602.882324,1597.826172,679.144287,1454.218994,1614.576782,490.847961,1566.356201,1607.495361,500.970123,1352.900269,1587.122192,935.602478,1347.756958,1634.886108,918.215759,1603.177490,1607.005737,677.632080,1453.619507,1614.059692,490.278900,1566.339600,1604.377075,494.659241,1351.242188,1702.022949,991.492737,1654.066772,,,,1709.837158,786.766052,1542.212524,,,,1730.392578,556.501892,1460.757568,1628.070923,983.325684,1310.580078,1678.712036,792.561401,1367.341675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
